seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy PR24_final_contigs_virus_summary.tsv
unbinned_1820	5555	No terminal repeats	NA	14	11	0.9836	NA	0	23.6773	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_796	8212	No terminal repeats	NA	10	11	0.9836	NA	1	15.0044	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_24151_pilon	31835	No terminal repeats	NA	44	11	0.9836	NA	10	66.2827	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_2117	5110	No terminal repeats	NA	10	11	0.9836	NA	1	13.8477	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1407	6281	No terminal repeats	NA	9	11	0.9835	NA	6	15.4645	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_2277	4917	No terminal repeats	NA	12	11	0.9835	NA	2	19.9349	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_14910_pilon	50025	No terminal repeats	NA	69	11	0.9835	NA	8	104.2076	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_332	11737	No terminal repeats	NA	13	11	0.9835	NA	2	21.9828	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_25401_pilon	35244	No terminal repeats	NA	48	11	0.9835	NA	11	76.3585	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unicycler_67517	4026	No terminal repeats	NA	14	11	0.9835	NA	1	23.8932	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_773	8294	No terminal repeats	NA	11	11	0.9835	NA	2	16.3740	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_923	7725	No terminal repeats	NA	18	11	0.9835	NA	5	26.4578	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_2517	4654	No terminal repeats	NA	11	11	0.9835	NA	1	16.7991	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_2376	4803	No terminal repeats	NA	7	11	0.9835	NA	0	10.9595	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1799	5593	No terminal repeats	NA	9	11	0.9835	NA	3	14.5535	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_19257_pilon	12190	No terminal repeats	NA	27	11	0.9834	NA	3	42.9570	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1024	7349	No terminal repeats	NA	15	11	0.9834	NA	1	21.8312	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_3102	4102	No terminal repeats	NA	6	11	0.9834	NA	1	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_208	14188	No terminal repeats	NA	17	11	0.9834	NA	2	28.1666	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_11477_pilon	4730	No terminal repeats	NA	7	11	0.9834	NA	4	10.2991	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_2361	4823	No terminal repeats	NA	7	11	0.9834	NA	4	12.0208	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_14802	1674	No terminal repeats	NA	6	11	0.9834	NA	2	9.7481	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1842	5502	No terminal repeats	NA	7	11	0.9834	NA	3	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1097	7130	No terminal repeats	NA	11	11	0.9833	NA	0	17.6946	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1957	5328	No terminal repeats	NA	7	11	0.9833	NA	0	11.9829	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1192	6878	No terminal repeats	NA	8	11	0.9833	NA	2	13.4653	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_3830	3605	No terminal repeats	NA	5	11	0.9833	NA	2	8.5665	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_71	22389	No terminal repeats	NA	35	11	0.9833	NA	10	54.4568	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1535	6041	No terminal repeats	NA	8	11	0.9833	NA	0	12.5005	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_2084	5147	No terminal repeats	NA	10	11	0.9833	NA	4	14.6749	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_9565	2102	No terminal repeats	NA	5	11	0.9833	NA	1	8.5113	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unicycler_67768	3307	No terminal repeats	NA	8	11	0.9833	NA	1	13.2766	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_294	12527	No terminal repeats	NA	15	11	0.9833	NA	1	20.0432	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_141	16743	No terminal repeats	NA	21	11	0.9833	NA	2	32.2939	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_627	9082	No terminal repeats	NA	7	11	0.9833	NA	0	9.8551	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae PR24_final_contigs_virus_summary.tsv
unbinned_3116	4093	No terminal repeats	NA	7	11	0.9833	NA	1	11.7096	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1555	6018	No terminal repeats	NA	8	11	0.9833	NA	2	11.4381	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_14630_pilon	6007	No terminal repeats	NA	14	11	0.9833	NA	1	20.6175	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_758	8367	No terminal repeats	NA	12	11	0.9833	NA	0	18.0978	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_2996	4189	No terminal repeats	NA	12	11	0.9833	NA	1	19.8723	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_15564_pilon	35164	No terminal repeats	NA	60	11	0.9833	NA	9	81.4643	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_2421	4762	No terminal repeats	NA	10	11	0.9833	NA	2	13.7453	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1210	6807	No terminal repeats	NA	12	4	0.9833	NA	0	19.9844	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_908	7774	No terminal repeats	NA	13	11	0.9833	NA	3	18.7174	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unicycler_74409	8483	No terminal repeats	NA	14	11	0.9832	NA	3	19.2284	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_22834_pilon	38228	No terminal repeats	NA	72	11	0.9832	NA	11	97.7837	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_405	10885	No terminal repeats	NA	19	11	0.9832	NA	1	30.2969	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_343	11595	No terminal repeats	NA	17	11	0.9832	NA	3	26.4555	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_800	8204	No terminal repeats	NA	10	11	0.9832	NA	3	16.2458	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_5330	2975	No terminal repeats	NA	5	11	0.9832	NA	2	7.8567	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_938	7660	No terminal repeats	NA	7	11	0.9832	NA	1	10.1906	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_3319	3947	No terminal repeats	NA	6	11	0.9832	NA	3	10.3026	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1541	6033	No terminal repeats	NA	9	11	0.9832	NA	4	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_27743_pilon	24318	No terminal repeats	NA	47	11	0.9832	NA	13	62.9043	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_15721_pilon	4242	No terminal repeats	NA	6	11	0.9832	NA	0	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_15144_pilon;provirus_4140_26492	22353	Provirus	4140-26492	26	11	0.9832	NA	3	34.2489	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_27629_pilon	38238	No terminal repeats	NA	75	11	0.9832	NA	8	93.0984	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1564	6000	No terminal repeats	NA	5	11	0.9832	NA	0	7.9006	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_17435_pilon	40871	No terminal repeats	NA	51	11	0.9832	NA	3	72.6556	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_414	10806	No terminal repeats	NA	14	11	0.9832	NA	3	17.9404	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_26857_pilon	25077	No terminal repeats	NA	39	11	0.9832	NA	8	57.0027	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_977	7507	No terminal repeats	NA	10	11	0.9832	NA	3	14.3396	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_23861_pilon	20402	No terminal repeats	NA	18	11	0.9832	NA	2	29.1401	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_27466_pilon	55386	No terminal repeats	NA	79	11	0.9832	NA	8	118.3675	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_2714	4449	No terminal repeats	NA	6	11	0.9832	NA	4	10.3085	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1456	6174	No terminal repeats	NA	10	11	0.9832	NA	5	16.4933	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_5481	2927	No terminal repeats	NA	7	11	0.9832	NA	2	11.8859	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_2424	4759	No terminal repeats	NA	7	11	0.9832	NA	0	9.6937	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1816	5560	No terminal repeats	NA	9	11	0.9832	NA	1	15.3925	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1855	5479	No terminal repeats	NA	10	11	0.9831	NA	3	17.1828	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_23862_pilon	19229	No terminal repeats	NA	14	11	0.9831	NA	0	21.8436	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_6828	2569	No terminal repeats	NA	4	11	0.9831	NA	1	6.6467	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_4257	3394	No terminal repeats	NA	6	11	0.9831	NA	2	9.7395	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae PR24_final_contigs_virus_summary.tsv
contig_14542_pilon	11817	No terminal repeats	NA	23	11	0.9831	NA	5	30.7764	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_2035	5214	No terminal repeats	NA	11	11	0.9831	NA	1	14.7674	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1759	5655	No terminal repeats	NA	18	11	0.9831	NA	1	26.3830	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae PR24_final_contigs_virus_summary.tsv
contig_27212_pilon	59279	No terminal repeats	NA	112	11	0.9831	NA	6	131.1950	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1553	6020	No terminal repeats	NA	13	11	0.9831	NA	0	18.9011	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae PR24_final_contigs_virus_summary.tsv
unbinned_104	19447	No terminal repeats	NA	16	11	0.9831	NA	2	25.8072	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_153	15753	No terminal repeats	NA	19	11	0.9831	NA	6	28.4798	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1139	7008	No terminal repeats	NA	6	11	0.9831	NA	0	10.2926	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1624	5888	No terminal repeats	NA	8	11	0.9831	NA	1	11.8568	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_422	10701	No terminal repeats	NA	15	11	0.9831	NA	0	22.3149	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_27485_pilon	34007	No terminal repeats	NA	55	11	0.9831	NA	6	82.4624	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_417	10785	No terminal repeats	NA	11	11	0.9831	NA	1	18.6120	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_23858_pilon	24307	No terminal repeats	NA	32	11	0.9831	NA	4	39.5018	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_16573_pilon	16437	No terminal repeats	NA	28	11	0.9831	NA	6	40.3808	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_2168	5045	No terminal repeats	NA	7	11	0.9831	NA	0	11.8406	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae PR24_final_contigs_virus_summary.tsv
unbinned_972	7521	No terminal repeats	NA	14	11	0.9831	NA	1	19.1206	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1829	5532	No terminal repeats	NA	10	11	0.9831	NA	1	15.7344	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_2046	5200	No terminal repeats	NA	8	11	0.9831	NA	1	11.4717	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_24046_pilon	34957	No terminal repeats	NA	55	11	0.9831	NA	6	84.1121	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_19891_pilon	18154	No terminal repeats	NA	38	11	0.9831	NA	6	47.1254	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_18707_pilon	38323	No terminal repeats	NA	74	11	0.9831	NA	7	100.5677	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1571	5986	No terminal repeats	NA	9	11	0.9831	NA	2	11.9438	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_450	10446	No terminal repeats	NA	15	11	0.9831	NA	1	24.0249	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_931	7685	No terminal repeats	NA	15	11	0.9831	NA	2	20.3950	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1446	6192	No terminal repeats	NA	8	11	0.9831	NA	3	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1085	7181	No terminal repeats	NA	8	11	0.9831	NA	3	10.3007	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1277	6651	No terminal repeats	NA	8	11	0.9831	NA	3	11.0910	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1274	6657	No terminal repeats	NA	22	11	0.9831	NA	0	30.3833	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_523	9803	No terminal repeats	NA	9	11	0.9830	NA	0	14.6686	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_2602	4551	No terminal repeats	NA	8	11	0.9830	NA	3	13.5710	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_19570_pilon	60492	No terminal repeats	NA	93	11	0.9830	NA	8	115.7784	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_2247	4963	No terminal repeats	NA	9	11	0.9830	NA	0	12.2333	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1767	5648	No terminal repeats	NA	5	11	0.9830	NA	1	8.5900	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_24201_pilon	21033	No terminal repeats	NA	25	11	0.9830	NA	3	39.5984	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_3921	3553	No terminal repeats	NA	5	11	0.9830	NA	2	8.2583	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_14631_pilon	18315	No terminal repeats	NA	26	11	0.9830	NA	1	35.5894	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_942	7639	No terminal repeats	NA	9	11	0.9830	NA	0	15.2348	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_22509_pilon;provirus_3_57224	57222	Provirus	3-57224	85	11	0.9830	NA	10	120.5332	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1120	7052	No terminal repeats	NA	6	11	0.9830	NA	1	8.4863	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_15495_pilon	19520	No terminal repeats	NA	29	11	0.9830	NA	2	35.6427	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_251	13335	No terminal repeats	NA	14	11	0.9830	NA	2	18.6012	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1873	5446	No terminal repeats	NA	11	11	0.9830	NA	0	13.4025	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_2007	5257	No terminal repeats	NA	5	11	0.9830	NA	2	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1308	6557	No terminal repeats	NA	13	11	0.9830	NA	0	20.4857	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_4449_pilon	36247	No terminal repeats	NA	66	11	0.9830	NA	6	91.0402	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_114	18191	No terminal repeats	NA	12	11	0.9830	NA	3	17.4517	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_21472_pilon	16483	No terminal repeats	NA	25	11	0.9830	NA	1	31.9043	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_10759_pilon	12205	No terminal repeats	NA	22	11	0.9830	NA	2	24.5101	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_27320_pilon	28966	No terminal repeats	NA	48	11	0.9830	NA	9	68.2499	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_9853	2062	No terminal repeats	NA	6	11	0.9830	NA	1	10.3013	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1612	5905	No terminal repeats	NA	7	11	0.9830	NA	0	8.5902	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_4247	3399	No terminal repeats	NA	9	11	0.9830	NA	1	13.1311	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_3836	3601	No terminal repeats	NA	6	11	0.9830	NA	0	9.6562	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_8998	2181	No terminal repeats	NA	5	11	0.9830	NA	1	8.4534	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_26851_pilon	33773	No terminal repeats	NA	56	11	0.9830	NA	8	75.6132	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
