Contig	allgenomes_nodup_sl_sr.mmi.139536_S27_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139537_S33_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139538_S35_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139539_COM_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139540_COM_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139541_S25_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139542_COM_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139543_S12_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139544_COM_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139545_S147_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139546_S148_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139547_S149_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139548_S150_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139549_S151_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139550_S152_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139551_S153_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139552_S154_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139553_S155_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139554_S156_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139555_S157_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139556_S158_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139557_S159_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139558_S160_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139560_S161_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139561_S162_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139562_S163_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139563_S164_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139564_S165_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139565_S166_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139566_S167_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139567_S168_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139568_S169_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139569_S170_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139570_S171_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139571_S172_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139572_S173_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139573_S174_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139574_S175_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139575_S176_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139576_S177_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139577_S178_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139578_S179_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139579_S180_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139580_S181_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139581_S182_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139582_S183_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139583_S184_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139584_S185_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139585_S186_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139586_S187_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139587_S188_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139588_S189_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139589_S190_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139590_S191_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD3106_S36_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD3107_S37_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD3108_S38_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD3109_S39_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD3110_S40_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD3111_S41_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD3112_S42_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD3113_S43_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD3114_S44_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD9007_COM_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD9008_S2_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD9009_S3_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD9010_S4_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD9011_COM_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD9012_S6_R1_001.fastq.gz_filtered Mean
PRET1608S17F00_ctg_573	0	0	0	0	0	0.015351769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030703537	0	0	0	0
PRET1608S17F00_ctg_627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRET1608S17F00_ctg_636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRET1608S17F02_ctg_1480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001772158	0	0	0	0
PRET1608S17F02_ctg_1516	0	0	0	0.709917	0.54638124	0.24212417	0.62358624	0.18132615	0.3625067	0	0	0	0.0036648707	0	0	0	0.0072812	0.0036648707	0	0	0	0	0	0	0.0036406	0	0.0034464346	0	0	0	0.020824231	0	0.010946071	0	0	0.010630552	0	0.0036406	0.0033250812	0.0073297415	0.018008834	0.046672493	0.022668803	0.0036648707	0.2220766	0	0	0	0	0	0.007062764	0	0.006795787	0.0036648707	0.007038493	0	0.010946071	0.056332216	0.054803167	0.006674433	0.0036648707	0.0073297415	0.0068685985	0.0450949	0.03866317	0.037668075	0	0.0073297415	0.010800446
PRET1608S17F02_ctg_2090	0.0038997054	0.0043618926	0	0.20347796	0.25411636	0.082644865	0.32448438	0.15899242	0.34863365	0.008723785	0	0	0.02166503	0.043301173	0.021607256	0.041972384	0.051389452	0.13354324	0	0	0	0	0	0	0.013085678	0.008723785	0.0043041194	0	0	0	0.046305392	0.021809462	0.030533249	0.029522214	0.037494946	0.095268354	0.0086660115	0.017418684	0	0	0.01736091	0.042867873	0.023600439	0	0.025882488	0	0.008694898	0.0043618926	0.0043618926	0.04278121	0.05771564	0.13452539	0.16000347	0.22875382	0.017158704	0.012796811	0.045149922	0.07611647	0.03948813	0.06430181	0	0	0.0035819516	0.05913109	0.0640996	0.024495928	0.07467213	0.06534173	0.1312612
PRET1608S17F02_ctg_3622	0	0	0	0.0046165884	0	0.02253521	0.005320814	0.017723005	0.0293036	0	0	0	0	0	0	0	0.0118153365	0	0	0	0	0	0	0	0	0	0.0059076683	0	0	0	0	0	0	0	0	0.0050469483	0	0	0	0	0	0	0.017644757	0.032276995	0.065766826	0	0	0	0	0	0.005007825	0.022065727	0.12425665	0.20426448	0	0	0	0.011776213	0	0.011619719	0	0	0	0	0	0	0	0	0
PRET1608S17F02_ctg_5188	0	0	0	0.0071870536	0	0	0.026653973	0.021465968	0.028653022	0	0.0071870536	0	0	0	0	0.0071394574	0.1406949	0.13317467	0	0	0	0.0069966684	0	0	0.100047596	0.014183722	0.09029034	0	0	0	0.013231794	0.014326511	0	0.09176583	0.09281295	0.80314136	0	0	0	0	0	0.035840075	0.6541647	0.09324131	0.89043313	0	0	0	0	0	0	0.0355545	0.035887673	0.08567349	0	0	0	0	0	0	0	0	0	0.028605426	0.037791528	0.014326511	0.4540695	0.9541647	0.81546885
PRET1608S17F02_ctg_5336	0	0	0	0.09394218	0.09849402	0.005810857	0.14691782	0.043581426	0.07365261	0.001985376	0	0	0	0	0	0.0073119947	0.0072635706	0	0	0	0	0.0073119947	0	0	0	0	0.014623989	0	0	0	0.0073119947	0	0.0073119947	0	0.0073119947	0	0.04377512	0.04377512	0.10963149	0.0073119947	0	0.0073119947	0	0	0.014236598	0	0	0	0.0072635706	0.013413394	0.051087115	0.0073119947	0.0073119947	0.0073119947	0	0	0	0.021790713	0.003728633	0.0068277563	0.007215147	0	0	0	0	0	0.046390004	0.006246671	0.026439399
PRET1608S17F02_ctg_6347	0.33656576	0.34749532	0.10308063	0.8598982	0.71186715	0.2119475	0.363086	0.024109295	0.05646933	0.5272971	0.092311814	0.10474149	0.070131265	0.1281543	0.08727565	0	0.032360032	0.016126439	0.016180016	0.024430754	0	0.024270024	0.008090008	0	0.032252878	0	0	0	0.016126439	0	0	0.016180016	0	0	0	0	0	0	0.008036432	0	0	0.016126439	0	0	0	0.024216447	0.027698902	0.28882936	0.09654433	0.12617198	0.063005626	0	0	0	0.0045004017	0.014679882	0.04778998	0.3898741	0.081650145	0.16426466	0.017358692	0.008090008	0.008090008	0.047039915	0	0	0	0	0
PRET1608S17F02_ctg_7994	0.027560499	0.026277194	0.018455146	0.2537277	0.21351747	0.13321926	0.19530678	0.052554388	0.09863114	0.080237105	0	0	0.052798826	0.009227573	0.017782938	0.009166463	0	0	0	0	0.009227573	0	0	0	0	0	0	0	0	0	0.01466634	0	0	0	0	0	0.008738695	0.0070276214	0.021021755	0.0073942803	0	0.012649719	0	0	0.009166463	0	0	0	0.014605231	0	0	0.035199217	0.07993156	0.12411391	0.03232706	0.006477634	0.031471524	0.026521632	0	0.009227573	0	0.009166463	0	0	0.0059887557	0	0	0.0025054999	0
PRET1608S17F02_ctg_8069	0	0	0	0.05288373	0.036975615	0.009213193	0.009213193	0.024752779	0.045636017	0	0	0	0	0	0	0	0	0.01854923	0	0	0	0	0	0	0	0	0	0	0.027823843	0.009151772	0	0.009274615	0	0	0	0	0.009213193	0	0.027701002	0	0	0.009274615	0	0.009274615	0.082795896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028499478	0.029420797	0	0.009213193	0.014249739	0
PRET1608S17F02_ctg_10597	0.086069405	0.010776636	0.032473598	1.0796034	1.0674617	0.51490766	1.2885264	0.78863424	1.6055751	0.41755873	0.02169696	0.032258064	0	0.008836842	0.1073353	0.021553272	0.1729291	0.17494074	0	0	0	0.02169696	0	0	0.042962857	0.010776636	0.086284935	0.009196063	0.009555284	0	0.06487535	0.010345571	0	0.03232991	0.07522092	0.06437244	0.03240175	0	0.028522164	0.0101300385	0	0.21811911	0.022128027	0	0.28134206	0	0	0.043106545	0	0	0.009555284	0	0.020403765	0.0031611465	0.45362455	0.4348732	0.607946	0.42847905	0.20425318	0.2408219	0.10345571	0.14490983	0.043250233	0.037574537	0.031898845	0	0.2538257	0.14993893	0.26905668
PRET1608S17F02_ctg_10810	0.010768335	0.0109138535	0	0.09807916	0.15432188	0.077706635	0.1745489	0.021973224	0.106883004	0	0	0	0	0	0.010986612	0	0	0.010986612	0	0	0	0.010986612	0	0	0	0	0.010841094	0	0	0	0.010986612	0.021973224	0	0	0	0.054787543	0.061554134	0.043728173	0.19339348	0.021900466	0	0.06577416	0	0	0.038853317	0	0	0.03274156	0.010622817	0.054642025	0.093204305	0.010986612	0.03259604	0.097788125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010986612
PRET1608S17F02_ctg_15976	0.092166744	0.09418232	0.013834173	0.63609713	0.7418232	0.27943197	0.53394413	0.13797526	0.18616582	0.038479157	0	0.013101237	0.013834173	0.055061843	0.027668346	0	0.041136052	0.013742556	0	0.006779661	0	0	0	0	0.012826386	0.02757673	0	0	0	0	0	0.009528172	0	0.010627577	0.012368301	0	0.012826386	0	0	0	0	0.0204306	0.013559322	0	0	0	0	0	0.027301878	0	0	0.040769584	0.025469538	0.026385708	0.073202014	0.013284471	0.013376088	0	0.027668346	0.013834173	0	0	0.01300962	0	0	0	0.02693541	0	0
PRET1608S17F02_ctg_18428	0	0	0	0.041616768	0.0149700595	0.01506986	0.07225549	0.028243514	0.01506986	0.03013972	0	0.03003992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03003992	0	0	0	0	0	0	0	0.027045907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01506986	0.029141717	0	0	0	0	0	0	0
PRET1608S17F02_ctg_20413	0	0	0	0.30226138	0.17613335	0.1917401	0.30332306	0.07686591	0.16010192	0	0	0.016031425	0.0138018895	0.047881942	0.016031425	0	0.04798811	0	0	0	0	0.078458436	0	0	0.016031425	0.016031425	0	0	0	0	6.506848	3.6410446	2.9031744	2.2123368	3.4801996	4.0754857	0	0	0	0.12814523	0.09597622	0.38358638	0.3667056	0.48848072	3.0682662	0	0	0	0	0.016031425	0	0	0	0.03206285	0	0	0	0.048094276	0.013058711	0	0	0	0	9.566302	11.645823	2.2026753	2.402378	0.85136425	1.5251088
PRET1608S17F02_ctg_22883	0	0.034337692	0	0.115974985	0.07276862	0.017055145	0.14928937	0.049573623	0.030130757	0.04980102	0.030926663	0	0.030244457	0.016941443	0	0	0	0	0	0	0	0.017168846	0	0	0	0	0	0	0.015690733	0.032973282	0.06799318	0.13564526	0.014440022	0	0	0	0	0	0.068447985	0.067310974	0	0.22001137	0.06822058	0.03411029	0.06492325	0	0	0	0	0	0	0	0	0	0.028993746	0.06708357	0.034337692	0.017168846	0	0	0	0	0	0.20636725	0.1640705	0.021603184	0.07413303	0.07629335	0.11119954
